,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std
pyannote,pyannote,0.03777777777777778,0.03822222222222222,0.038,0.2591111111111111,0.33322038969120105,0.962,0.9407938,0.11725117,1.2979878,0.0708554
wavlm-base-sv,wavlm-base-sv,0.12533333333333332,0.124,0.12466666666666666,0.4448888888888889,0.9297717161126084,0.8753333333333333,0.28583083,0.07458292,0.65354735,0.23803838
wavlm-base-plus-sv,wavlm-base-plus-sv,0.10844444444444444,0.10933333333333334,0.1088888888888889,0.40755555555555556,0.9280500630358676,0.8911111111111111,0.28615502,0.07308595,0.6842185,0.25377533
titanet,titanet,0.01911111111111111,0.01911111111111111,0.01911111111111111,0.13866666666666666,0.46813381953282396,0.9808888888888889,0.77279633,0.12148732,1.2457439,0.08433043
ecapa,ecapa,0.017333333333333333,0.016888888888888887,0.01711111111111111,0.1391111111111111,0.4198121335860846,0.9828888888888889,0.82747877,0.11911429,1.2929507,0.081254594
